zomato,suspicious,,
swiggy,good,,
zomato,safe,,
swiggy,great,,
confuse,zomato,,
good,swiggy,,
wonderful,zomato,,
safe,swiggy,,
zomato,bad,,
swiggy,emergency,,
good,swiggy,,
good,swiggy,,
zomato,great,interested,
good,swiggy,,
good,great,,
nice,advantage,,
advantage,swiggy,,
fantastic,good,,
zomato,miserable,,
swiggy,late,,
bad,swiggy,,
zomato,defective,,
safety,zomato,,
swiggy,ease,,
fast,swiggy,,
swiggy,good,,
safe,zomato,,
satisfied,zomato,,
great,safety,,
delay,delayed,,
zomato,good,,
happy,zomato,,
bad,swiggy,,
zomato,safe,,
easy,swiggy,,
safe,swiggy,,
swiggy,good,,
fair,swiggy,,
swiggy,good,,
ease,zomato,,
zomato,shock,,
good,swiggy,,
ease,zomato,,
happiness,happy,swiggy,
swiggy,boring,,
good,zomato,,
zomato,happy,,
happy,zomato,,
safety,afraid,,
jealous,zomato,,
sadly,zomato,,
zomato,safe,,
swiggy,convenience,,
sad,advantage,swiggy,
swiggy,bad,,
great,swiggy,,
zomato,bad,,
swiggy,sad,,
swiggy,hate,,
swiggy,hate,,
sad,zomato,,
safety,swiggy,,
shock,zomato,,
disappointment,swiggy,,
stupidest,interested,,
exorbitantly,zomato,,
swiggy,disappointed,,
swiggy,sad,,
zomato,good,,
swiggy,brave,silly,
zomato,bad,,
swiggy,excite,,
fast,zomato,,
good,great,swiggy,
great,swiggy,,
safety,swiggy,,
swiggy,bad,,
angry,happy,,
good,zomato,,
good,zomato,,
good,zomato,,
good,zomato,,
swiggy,delay,,
zomato,advantage,,
excite,zomato,,
advantage,swiggy,,
advantage,zomato,,
zomato,safety,,
advantage,zomato,,
great,zomato,good,
good,great,,
zomato,advantage,,
zomato,safety,,
swiggy,advantage,,
late,swiggy,,
glad,zomato,,
happy,swiggy,,
stupid,arrogant,,
late,swiggy,,
swiggy,sad,,
happy,happiness,swiggy,strength
swiggy,cheap,,
zomato,wonderful,,
zomato,safe,,
swiggy,advantage,,
zomato,safe,,
great,swiggy,,
swiggy,advantage,,
swiggy,advantage,,
